area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Valencia,2 BHK,,980,2,1,3519000
Built-up  Area,Ready To Move,Cebu City,2 BHK,Dieldli,120Sq. Yards,2,1,3519000
Super built-up  Area,Ready To Move,Cavite City,3 BHK,Vehes L,1450,3,3,3519000
Super built-up  Area,Ready To Move,Bayugan,1 BHK,,500,1,2,3519000
Super built-up  Area,Ready To Move,General Santos,2 BHK,DSgam S,1084,2,1,3519000
Super built-up  Area,Ready To Move,Taguig,3 BHK,BModsen,1500,3,3,3521760
Super built-up  Area,Ready To Move,Batangas,3 BHK,She 2rk,1460,2,3,3525900
Super built-up  Area,Ready To Move,Mandaluyong,3 BHK,PueraRi,1290,2,3,3525900
Super built-up  Area,Ready To Move,Kabankalan,2 BHK,PuoodSk,1196,2,2,3529350
Super built-up  Area,Ready To Move,Bislig,2 BHK,Raiyai ,1185,2,1,3529350
Super built-up  Area,Ready To Move,El Salvador,2 BHK,,1185,2,1,3529350
Super built-up  Area,Ready To Move,Santa Rosa,3 BHK,UpowsMe,1125 - 1500,3,0,3532110
Super built-up  Area,Ready To Move,Tanjay,2 BHK,RMcesa ,1140,2,1,3532800
Super built-up  Area,18-Sep,Ligao,2 BHK,CidgeKn,1070 - 1315,2,0,3534180
Super built-up  Area,21-May,Olongapo,2 BHK,Prtanha,1017,2,1,3536250
Super built-up  Area,18-May,Bayawan,2 BHK,,1215,2,1,3536940
Super built-up  Area,17-Apr,Pasig,3 BHK,IBityin,1630,3,2,3543150
Super built-up  Area,19-Dec,San Pedro,2 BHK,,1165,2,1,3547980
Super built-up  Area,Ready To Move,Tarlac City,3 BHK,Shitt S,1430,2,2,3550740
Super built-up  Area,Ready To Move,Tacurong,2 BHK,ShentAp,1175,2,2,3551430
Super built-up  Area,Ready To Move,Bogo,3 BHK,,1430,2,2,3552120
Super built-up  Area,Ready To Move,Naga,3 BHK,Sorisa ,1430,2,2,3552120
Super built-up  Area,Ready To Move,Calapan,2 BHK,Puodse ,1075,2,1,3553500
Built-up  Area,Ready To Move,Balanga,2 BHK,,935,2,1,3553500
Super built-up  Area,Ready To Move,San Fernando,2 BHK,Sancy R,1272,2,2,3553500
Super built-up  Area,Ready To Move,Butuan,2 BHK,,1272,2,2,3553500
Super built-up  Area,Ready To Move,Makati,2 BHK,Brngsal,1272,2,2,3553500
Super built-up  Area,Ready To Move,Panabo,2 BHK,Srowsee,1263,2,1,3553500
Super built-up  Area,Ready To Move,Silay,2 BHK,VBavaai,1035,2,1,3553500
Super built-up  Area,Ready To Move,San Carlos,3 BHK,,1355,2,2,3553500
Super built-up  Area,Ready To Move,Danao,2 BHK,BaiseBa,1196,2,2,3554190
Super built-up  Area,Ready To Move,Trece Martires,2 BHK,,1307,2,2,3560400
Super built-up  Area,Ready To Move,Alaminos,3 BHK,Dhalsh ,1430,2,2,3560400
Super built-up  Area,19-Dec,Tandag,3 BHK,,1403,3,3,3562470
Super built-up  Area,19-Dec,Bacolod,3 BHK,Maity W,1403,3,3,3562470
Super built-up  Area,19-Jul,Catbalogan,2 BHK,Skume R,1050,2,1,3564540
Super built-up  Area,Ready To Move,Legazpi,3 BHK,Prarkun,1530,3,3,3572130
Super built-up  Area,Ready To Move,Gingoog,3 BHK,Sreat R,1531,3,3,3572130
Super built-up  Area,Ready To Move,Sorsogon City,3 BHK,GolusLi,1529,3,3,3572130
Super built-up  Area,Ready To Move,Tabuk,2 BHK,,1154,2,1,3574200
Super built-up  Area,18-Aug,Vigan,3 BHK,MIalerd,1330,2,2,3576270
Super built-up  Area,Ready To Move,Roxas,3 BHK,PuziaVe,1296,2,2,3576270
Super built-up  Area,Ready To Move,Lamitan,3 BHK,Prtanha,1530,3,3,3579030
Super built-up  Area,Ready To Move,Gapan,2 BHK,Jaangm ,1116,2,1,3580410
Super built-up  Area,Ready To Move,Lucena,2 BHK,,1116,2,1,3581790
Super built-up  Area,Ready To Move,Dumaguete,2 BHK,,1116,2,3,3581790
Super built-up  Area,Ready To Move,Passi,2 BHK,,1116,2,1,3581790
Super built-up  Area,Ready To Move,Samal,2 BHK,,1116,2,3,3581790
Super built-up  Area,Ready To Move,Calbayog,2 BHK,,1115,2,1,3581790
Super built-up  Area,Ready To Move,Calamba,2 BHK,Sryalan,1116,2,3,3581790
Super built-up  Area,18-May,Ozamiz,3 BHK,AsastDe,1650,3,2,3586620
Super built-up  Area,Ready To Move,Tuguegarao,2 BHK,SoineC ,1170,2,1,3587310
Super built-up  Area,Ready To Move,General Trias,2 BHK,,1070,2,1,3588000
Super built-up  Area,Ready To Move,Navotas,2 BHK,Magiaya,1200,2,2,3588000
Built-up  Area,Ready To Move,Mandaue,2 BHK,Sowerew,1170,2,2,3588000
Super built-up  Area,Ready To Move,Talisay,2 BHK,Sariaat,1200,2,2,3588000
Super built-up  Area,Ready To Move,San Carlos,2 BHK,,1075,2,1,3588000
Built-up  Area,Ready To Move,Maasin,2 BHK,,1020,2,1,3588000
Super built-up  Area,Ready To Move,Pasay,2 BHK,,1150,2,3,3588000
Built-up  Area,Ready To Move,San Jose del Monte,2 BHK,SoageHe,1275,2,2,3588000
Built-up  Area,Ready To Move,Cabanatuan,2 BHK,Dhalsh ,1200,2,2,3588000
Super built-up  Area,Ready To Move,Tayabas,2 BHK,Contsci,918,2,2,3588000
Super built-up  Area,Ready To Move,Lipa,2 BHK,Villeka,1250,2,3,3588000
Super built-up  Area,Ready To Move,Tacloban,3 BHK,Emceske,1563,3,2,3588000
Super built-up  Area,Ready To Move,Marawi,3 BHK,GoAirej,1600,3,2,3588000
Super built-up  Area,Ready To Move,Bais,2 BHK,,1090,2,3,3588000
Super built-up  Area,19-Dec,Cabuyao,2 BHK,,1160,2,1,3588000
Built-up  Area,Ready To Move,Bacoor,3 BHK,DShtsow,1550,2,3,3588000
Super built-up  Area,Ready To Move,Cotabato City,3 BHK,Lancyey,1300,2,2,3588000
Built-up  Area,Ready To Move,San Juan,2 BHK,Pridei ,1075,2,3,3588000
Carpet  Area,Ready To Move,Talisay,2 BHK,Prhtsok,950,2,1,3588000
Built-up  Area,Ready To Move,Sipalay,2 BHK,PrarePa,1160,2,1,3588000
Super built-up  Area,Ready To Move,Santiago,2 BHK,Rosha I,1100,2,2,3588000
Super built-up  Area,Ready To Move,Carcar,2 BHK,VaarkMe,1100,2,1,3588000
Super built-up  Area,Ready To Move,Quezon City,2 BHK,,1022,2,2,3588000
Super built-up  Area,Ready To Move,Canlaon,3 BHK,Shiew T,1380,2,1,3588000
Super built-up  Area,Ready To Move,Dapitan,2 BHK,,1187,2,3,3588000
Super built-up  Area,Ready To Move,Santo Tomas,2 BHK,,1175,2,1,3588000
Plot  Area,18-Apr,Dipolog,1 Bedroom,Cimeshw,800,1,0,3588000
Super built-up  Area,Ready To Move,Muntinlupa,2 BHK,,1180,2,3,3588000
Super built-up  Area,Ready To Move,San Fernando,2 BHK,,1280,2,2,3588000
Super built-up  Area,Ready To Move,Imus,3 BHK,SunceEs,1300,2,2,3588000
Super built-up  Area,Ready To Move,Ormoc,2 BHK,,1125,2,1,3588000
Super built-up  Area,Ready To Move,Urdaneta,3 BHK,,1676,3,3,3588000
Plot  Area,Ready To Move,Dagupan,2 Bedroom,,675,3,1,3588000
Super built-up  Area,18-Aug,Puerto Princesa,1 BHK,Radhian,703,1,1,3588000
Built-up  Area,Ready To Move,Caloocan,3 BHK,,1650,2,1,3588000
Super built-up  Area,Ready To Move,Digos,3 BHK,,1075,2,1,3588000
Super built-up  Area,18-May,Bago,2 BHK,She 2rk,1133,2,1,3588000
Super built-up  Area,Ready To Move,Borongan,2 BHK,Hincy R,1076,2,2,3588000
Built-up  Area,Ready To Move,Mati,2 BHK,,1140,2,2,3588000
Super built-up  Area,Ready To Move,Tanauan,2 BHK,,1200,2,2,3588000
Super built-up  Area,Ready To Move,Iloilo City,2 BHK,NDionas,1290,2,2,3588000
Built-up  Area,17-Jun,Cabadbaran,1 RK,,905,1,1,3588000
Carpet  Area,Ready To Move,Pagadian,2 BHK,,1130,2,1,3588000
Super built-up  Area,Ready To Move,Sagay,2 BHK,SNiew L,1100,2,2,3588000
Super built-up  Area,Ready To Move,Toledo,2 BHK,DLhtsnd,1020,2,1,3588000
Super built-up  Area,Ready To Move,Baybay,3 BHK,,1221,3,3,3588000
Built-up  Area,18-Mar,Marikina,1 BHK,Nileyap,905,1,1,3588000
Super built-up  Area,Ready To Move,Antipolo,2 BHK,Vestas ,1070,2,1,3588000
Built-up  Area,Ready To Move,Manila,3 BHK,Puownm ,1300,2,2,3588000
Super built-up  Area,Ready To Move,Himamaylan,3 BHK,PrdgeLa,1075,2,1,3588000
Plot  Area,Ready To Move,Iriga,2 Bedroom,GMown E,600,1,1,3588000
Built-up  Area,Ready To Move,Masbate,3 BHK,FoGemna,1100,2,2,3588000
Built-up  Area,Ready To Move,Valenzuela,2 BHK,,1102,2,0,3588000
Built-up  Area,Ready To Move,Cauayan,3 BHK,,1260,2,2,3588000
Super built-up  Area,Ready To Move,Tangub,2 BHK,Cestama,1080,2,1,3588000
Super built-up  Area,Ready To Move,Surigao,2 BHK,,1200,2,1,3588000
Super built-up  Area,Ready To Move,Zamboanga City,2 BHK,,1067,2,2,3588000
Super built-up  Area,18-May,Oroquieta,2 BHK,,1110,2,2,3588000
Plot  Area,Ready To Move,Mabalacat,1 Bedroom,SNbay G,600,1,0,3588000
Built-up  Area,Ready To Move,San Pablo,3 Bedroom,,800,2,1,3588000
Super built-up  Area,Ready To Move,San Jose,2 BHK,,1200,2,2,3588000
Super built-up  Area,Ready To Move,Batac,2 BHK,Ahhtser,1220,2,2,3588000
Super built-up  Area,Ready To Move,Malolos,3 BHK,,1230,2,2,3588000
Built-up  Area,Ready To Move,Naga,3 BHK,She 2rk,1230,2,2,3588000
Super built-up  Area,Ready To Move,Laoag,2 BHK,BMmesHo,1200,2,1,3588000
Built-up  Area,Ready To Move,Cadiz,2 BHK,,1180,2,2,3588000
Super built-up  Area,Ready To Move,Victorias,3 BHK,Prrtht ,1275,2,2,3588000
Super built-up  Area,Ready To Move,Tabaco,3 BHK,SRzonhu,1500,2,2,3588000
Built-up  Area,Ready To Move,Malaybalay,2 BHK,Asintas,1200,2,2,3588000
Super built-up  Area,Ready To Move,Cagayan de Oro,2 BHK,,1100,2,2,3588000
Built-up  Area,Ready To Move,Kidapawan,3 Bedroom,BainePr,1650,3,0,3588000
Super built-up  Area,Ready To Move,Malabon,2 BHK,,1113,2,1,3588000
Super built-up  Area,Ready To Move,Escalante,2 BHK,,1394,2,3,3588000
Super built-up  Area,Ready To Move,Iligan,2 BHK,,1110,2,1,3588000
Super built-up  Area,Ready To Move,Tagum,2 BHK,,730,1,2,3588000
Plot  Area,Ready To Move,Koronadal,1 Bedroom,AreraRe,1150,1,0,3588000
Built-up  Area,Ready To Move,Tagbilaran,2 BHK,,1200,2,2,3588000
Super built-up  Area,Ready To Move,Angeles,3 BHK,Srsica ,1294,2,2,3588000
Built-up  Area,Ready To Move,Meycauayan,2 BHK,Soiewre,1075,2,0,3588000
Plot  Area,Ready To Move,Palayan,7 Bedroom,Rarthne,1300,4,1,3588000
Super built-up  Area,18-Jan,Lapu-Lapu,1 BHK,,702,1,1,3588000
Built-up  Area,Ready To Move,Tagaytay,2 BHK,,1200,3,2,3588000
Super built-up  Area,Ready To Move,Isabela,3 BHK,SJarkte,1300,2,2,3588000
Super built-up  Area,Ready To Move,La Carlota,2 BHK,,1427,2,2,3588000
Super built-up  Area,Ready To Move,Ilagan,2 BHK,SJlynro,1008,2,2,3588000
Super built-up  Area,Ready To Move,Davao City,2 BHK,Maana E,1010,2,1,3588000
Super built-up  Area,Ready To Move,Candon,2 BHK,,1070,2,1,3588000
Built-up  Area,Ready To Move,Baguio,2 BHK,Glnetch,1156,2,2,3588000
Super built-up  Area,Ready To Move,Guihulngan,2 BHK,,1150,2,2,3588000
Super built-up  Area,Ready To Move,Valencia,3 BHK,Suensda,1397,2,,3588000
Built-up  Area,Ready To Move,Cebu City,2 BHK,KHatsFl,1305,2,2,3588000
Super built-up  Area,Ready To Move,Cavite City,2 BHK,MKllei ,1060,2,2,3588000
Built-up  Area,Ready To Move,Bayugan,2 BHK,,1000,2,0,3588000
Super built-up  Area,Ready To Move,General Santos,2 BHK,,1060,2,1,3588000
Plot  Area,18-Nov,Taguig,3 Bedroom,,1200,2,1,3588000
Built-up  Area,Ready To Move,Batangas,2 BHK,NDionas,1052,2,2,3588000
Super built-up  Area,Ready To Move,Mandaluyong,2 BHK,,1010,2,1,3588000
Super built-up  Area,Ready To Move,Kabankalan,3 BHK,Soiewre,1563,2,2,3588000
Super built-up  Area,Ready To Move,Bislig,2 BHK,,1325,2,2,3588000
Super built-up  Area,Ready To Move,El Salvador,2 BHK,,1317,2,2,3588000
Super built-up  Area,18-May,Santa Rosa,2 BHK,Brica E,1165,2,1,3588000
Super built-up  Area,Ready To Move,Tanjay,2 BHK,PueraRi,1162,2,1,3588000
Built-up  Area,Ready To Move,Ligao,2 BHK,,1081,2,1,3588000
Super built-up  Area,Ready To Move,Olongapo,2 BHK,,1113,2,1,3588000
Super built-up  Area,Ready To Move,Bayawan,3 BHK,,1430,3,2,3588000
Super built-up  Area,18-Oct,Pasig,2 BHK,SrnesSr,1020,2,2,3588000
Built-up  Area,Ready To Move,San Pedro,2 BHK,,1220,2,2,3588000
Super built-up  Area,Ready To Move,Tarlac City,2 BHK,,1195,2,1,3588000
Super built-up  Area,19-Mar,Tacurong,2 BHK,MJtroty,1165,2,1,3588000
Super built-up  Area,Ready To Move,Bogo,3 BHK,Prarkun,1300,2,2,3588000
Super built-up  Area,18-May,Naga,2 BHK,Maity W,1140,2,2,3588000
Super built-up  Area,Ready To Move,Calapan,3 BHK,Saageat,1555,3,3,3588000
Super built-up  Area,Ready To Move,Balanga,2 BHK,Niway G,1264,2,,3588000
Super built-up  Area,Ready To Move,San Fernando,2 BHK,,1270,2,2,3588000
Super built-up  Area,Ready To Move,Butuan,2 BHK,,1225,2,2,3588000
Super built-up  Area,Ready To Move,Makati,2 BHK,NCowsar,1060,2,1,3588000
Super built-up  Area,17-Oct,Panabo,2 BHK,,1235,2,1,3590760
Super built-up  Area,Ready To Move,Silay,2 BHK,,1050,2,2,3592830
Super built-up  Area,Ready To Move,San Carlos,2 BHK,,1050,2,2,3592830
Super built-up  Area,Ready To Move,Danao,2 BHK,Roima A,1050,2,2,3593520
Super built-up  Area,Ready To Move,Trece Martires,2 BHK,,1050,2,2,3593520
Super built-up  Area,Ready To Move,Alaminos,2 BHK,,1050,2,2,3594900
Super built-up  Area,Ready To Move,Tandag,3 BHK,Daives ,1410,2,3,3599730
Super built-up  Area,Ready To Move,Bacolod,3 BHK,Maows M,1410,2,3,3599730
Super built-up  Area,Ready To Move,Catbalogan,2 BHK,,1160,2,2,3601800
Super built-up  Area,18-May,Legazpi,2 BHK,PuandHi,1160,2,1,3601800
Built-up  Area,Ready To Move,Gingoog,2 BHK,Bhe 2ko,1066,2,1,3603870
Super built-up  Area,Ready To Move,Sorsogon City,2 BHK,,1071,2,2,3605250
Built-up  Area,Ready To Move,Tabuk,1 Bedroom,RothaVa,900,1,1,3608700
Super built-up  Area,Ready To Move,Vigan,2 BHK,Soowsa ,1255,2,1,3610080
Super built-up  Area,Ready To Move,Roxas,2 BHK,Kacesh ,1255,2,1,3610080
Super built-up  Area,Ready To Move,Lamitan,2 BHK,Prldsri,1255,2,1,3610080
Super built-up  Area,Ready To Move,Gapan,3 BHK,Bhe 2ko,1495,2,2,3610770
Super built-up  Area,Ready To Move,Lucena,3 BHK,,1495,2,2,3610770
Super built-up  Area,Ready To Move,Dumaguete,2 BHK,,1255,2,2,3612150
Built-up  Area,Ready To Move,Passi,3 BHK,Magiaya,1539,2,2,3612840
Super built-up  Area,21-Sep,Samal,2 BHK,,1073,2,1,3612840
Super built-up  Area,Ready To Move,Calbayog,3 BHK,SantsAp,1310,2,1,3615600
Super built-up  Area,18-Apr,Calamba,3 BHK,Vaharvi,1282,2,2,3617670
Super built-up  Area,Ready To Move,Ozamiz,2 BHK,,1075,2,2,3617670
Super built-up  Area,18-May,Tuguegarao,3 BHK,GrrvaGr,1451,2,2,3617670
Super built-up  Area,Ready To Move,General Trias,3 BHK,Mahosya,1550,3,3,3619050
Super built-up  Area,18-May,Navotas,3 BHK,,1418,3,2,3620430
Super built-up  Area,Ready To Move,Mandaue,2 BHK,,1105,2,1,3621120
Super built-up  Area,Ready To Move,Talisay,3 BHK,PrityFa,1381,2,2,3621120
Built-up  Area,Ready To Move,San Carlos,2 BHK,Eladero,1150,3,3,3622500
Super built-up  Area,Ready To Move,Maasin,3 BHK,,1484,3,2,3622500
Super built-up  Area,Ready To Move,Pasay,2 BHK,Caycend,1050,2,2,3622500
Super built-up  Area,Ready To Move,San Jose del Monte,1 BHK,Sonet G,705,1,1,3622500
Super built-up  Area,Ready To Move,Cabanatuan,2 BHK,Kelia R,1050,2,2,3622500
Super built-up  Area,Ready To Move,Tayabas,1 BHK,DSdhiSa,750,1,1,3622500
Super built-up  Area,Ready To Move,Lipa,2 BHK,Usquaya,1200,2,2,3622500
Built-up  Area,17-Mar,Tacloban,2 BHK,Sodgere,957,2,0,3622500
Super built-up  Area,Ready To Move,Marawi,2 BHK,,1066,2,2,3622500
Super built-up  Area,Ready To Move,Bais,2 BHK,,1050,2,2,3622500
Super built-up  Area,Ready To Move,Cabuyao,2 BHK,PhestOn,1150,2,1,3622500
Super built-up  Area,Ready To Move,Bacoor,2 BHK,Somns T,1050,2,2,3622500
Built-up  Area,Ready To Move,Cotabato City,2 BHK,Raard B,970,2,1,3622500
Super built-up  Area,Ready To Move,San Juan,1 BHK,,1020 - 1130,,,3627330
Super built-up  Area,19-Jul,Talisay,2 BHK,,1033,2,1,3628020
Super built-up  Area,19-Mar,Sipalay,2 BHK,AHavenc,1023,2,1,3628710
Super built-up  Area,Ready To Move,Santiago,2 BHK,DSnjh S,1240,2,2,3629400
Super built-up  Area,17-Nov,Carcar,2 BHK,,1253,2,1,3633540
Super built-up  Area,20-Dec,Quezon City,2 BHK,,750,2,1,3636300
Super built-up  Area,Ready To Move,Canlaon,2 BHK,,1226,2,2,3636990
Super built-up  Area,Ready To Move,Dapitan,2 BHK,RothaVa,1050,2,2,3636990
Super built-up  Area,Ready To Move,Santo Tomas,2 BHK,Pranthi,1150,2,1,3639750
Super built-up  Area,18-Aug,Dipolog,2 BHK,Keersto,1255,2,2,3640440
Super built-up  Area,18-Aug,Muntinlupa,2 BHK,Mania G,1235,2,2,3640440
Super built-up  Area,18-Aug,San Fernando,2 BHK,Tahtsla,1235,2,2,3640440
Super built-up  Area,18-Oct,Imus,2 BHK,,1035,2,2,3642510
Built-up  Area,Ready To Move,Ormoc,4 Bedroom,,1600,4,0,3643200
Carpet  Area,Ready To Move,Urdaneta,2 BHK,Zonce E,875,2,3,3643200
Super built-up  Area,Ready To Move,Dagupan,2 BHK,YCnce R,1150,2,2,3643200
Super built-up  Area,Ready To Move,Puerto Princesa,2 BHK,Srrnasa,1150,2,1,3643200
Super built-up  Area,18-Jun,Caloocan,3 BHK,,1365,3,1,3643890
Super built-up  Area,18-Jun,Digos,3 BHK,,1365,3,1,3643890
Super built-up  Area,18-May,Bago,3 BHK,,1365,3,1,3644580
Super built-up  Area,Ready To Move,Borongan,3 BHK,JRichee,1215,2,2,3646650
Super built-up  Area,Ready To Move,Mati,3 BHK,Sanzaat,1215,2,2,3646650
Super built-up  Area,Ready To Move,Tanauan,2 BHK,,1175,2,2,3647340
Super built-up  Area,21-Feb,Iloilo City,3 BHK,SRageri,1100,3,1,3654930
Super built-up  Area,21-Dec,Cabadbaran,3 BHK,Veodsar,1100,2,1,3654930
Super built-up  Area,Ready To Move,Pagadian,2 BHK,Pruthg ,1075,2,1,3657000
Super built-up  Area,Ready To Move,Sagay,2 BHK,BMmesHo,1113.27,2,2,3657000
Super built-up  Area,Ready To Move,Toledo,2 BHK,,1000,2,1,3657000
Built-up  Area,Ready To Move,Baybay,2 BHK,DSOakil,1202,2,1,3657000
Built-up  Area,Ready To Move,Marikina,2 BHK,,1170,2,3,3657000
Super built-up  Area,Ready To Move,Antipolo,2 BHK,Prarkun,1225,2,,3657000
Super built-up  Area,21-Dec,Manila,3 BHK,FlsicFl,1100,3,2,3657000
Super built-up  Area,Ready To Move,Himamaylan,2 BHK,,1239,2,1,3657000
Super built-up  Area,Ready To Move,Iriga,2 BHK,,1200,2,3,3657000
Super built-up  Area,Ready To Move,Masbate,2 BHK,,1254,2,1,3657000
Super built-up  Area,Ready To Move,Valenzuela,2 BHK,Soena A,1184,2,3,3657000
Super built-up  Area,Ready To Move,Cauayan,2 BHK,,1110,2,3,3657000
Super built-up  Area,Ready To Move,Tangub,3 BHK,Sabixtt,1410,2,3,3657000
Built-up  Area,Ready To Move,Surigao,2 BHK,,1000,2,2,3657000
Plot  Area,Ready To Move,Zamboanga City,4 Bedroom,ICoolon,450,3,1,3657000
Built-up  Area,Ready To Move,Oroquieta,2 Bedroom,SNity S,1200,1,0,3657000
Super built-up  Area,Ready To Move,Mabalacat,2 BHK,,1200,2,0,3657000
Super built-up  Area,18-May,San Pablo,2 BHK,Naods W,1100,2,,3657000
Super built-up  Area,21-Dec,San Jose,3 BHK,Raeusiy,1100,3,2,3657000
Super built-up  Area,Ready To Move,Batac,1 BHK,,1351,2,1,3657000
Super built-up  Area,Ready To Move,Malolos,2 BHK,,1166,2,1,3657000
Super built-up  Area,21-Dec,Naga,3 BHK,,1100,3,2,3657000
Built-up  Area,Ready To Move,Laoag,2 BHK,Puide P,1247,2,0,3657000
Carpet  Area,Ready To Move,Cadiz,3 BHK,,1350,2,2,3657000
Super built-up  Area,Ready To Move,Victorias,2 BHK,Jaers S,1200,2,2,3657000
Super built-up  Area,Ready To Move,Tabaco,3 BHK,Somns T,1665,3,1,3657000
Super built-up  Area,18-Dec,Malaybalay,2 BHK,Prncyrn,1325,2,1,3657000
Super built-up  Area,Ready To Move,Cagayan de Oro,1 BHK,Jaades ,656,1,1,3657000
Super built-up  Area,Ready To Move,Kidapawan,2 BHK,Prllasw,1260,2,2,3657000
Super built-up  Area,19-Jun,Malabon,1 BHK,SSestth,655,1,1,3657000
Super built-up  Area,Ready To Move,Escalante,2 BHK,,997,2,3,3657000
Super built-up  Area,Ready To Move,Iligan,2 BHK,Preaunt,957,2,1,3657000
Super built-up  Area,Ready To Move,Tagum,2 BHK,Sinde G,1120,2,3,3657000
Super built-up  Area,Ready To Move,Koronadal,3 BHK,,1230,3,3,3657000
Plot  Area,Ready To Move,Tagbilaran,2 Bedroom,Raard B,1200,2,0,3657000
Super built-up  Area,Ready To Move,Angeles,2 BHK,,1000,2,2,3657000
Super built-up  Area,20-Dec,Meycauayan,3 BHK,,1100,2,1,3657000
Super built-up  Area,18-May,Palayan,2 BHK,Prionad,1060,2,1,3657000
Super built-up  Area,Ready To Move,Lapu-Lapu,2 BHK,Vayali ,1031,2,1,3657000
Super built-up  Area,Ready To Move,Tagaytay,2 BHK,,1206,2,1,3657000
Super built-up  Area,Ready To Move,Isabela,3 BHK,Prone M,1435,3,3,3657000
Built-up  Area,Ready To Move,La Carlota,3 BHK,DSestSt,1360,2,1,3657000
Super built-up  Area,18-Mar,Ilagan,2 BHK,,1075,2,2,3657000
Super built-up  Area,Ready To Move,Davao City,2 BHK,,1143,2,1,3657000
Super built-up  Area,Ready To Move,Candon,2 BHK,,1200,2,1,3657000
Super built-up  Area,Ready To Move,Baguio,2 BHK,Hentye ,1070,2,1,3657000
Super built-up  Area,21-Dec,Guihulngan,3 BHK,PuziaVe,1100,3,2,3657000
Built-up  Area,Ready To Move,Valencia,3 BHK,PhestOn,1400,3,2,3657000
Super built-up  Area,20-Jan,Cebu City,2 BHK,,1007,2,1,3657000
Super built-up  Area,Ready To Move,Cavite City,2 BHK,LVniaar,1054,2,1,3657000
Super built-up  Area,Ready To Move,Bayugan,3 BHK,,1800,3,2,3657000
Super built-up  Area,18-May,General Santos,2 BHK,ETens G,1251,2,1,3657000
Built-up  Area,21-Dec,Taguig,3 BHK,,1100,3,2,3657000
Super built-up  Area,Ready To Move,Batangas,2 BHK,Sryalan,1053,2,1,3657000
Super built-up  Area,Ready To Move,Mandaluyong,2 BHK,Itelaa ,1084,2,1,3657000
Super built-up  Area,Ready To Move,Kabankalan,3 BHK,SSthamh,1310,2,2,3657000
Super built-up  Area,Ready To Move,Bislig,2 BHK,Coowsri,814,2,1,3657000
Built-up  Area,19-Mar,El Salvador,1 BHK,,936,1,0,3657000
Super built-up  Area,Ready To Move,Santa Rosa,2 BHK,VaasaPr,1075,2,2,3657000
Super built-up  Area,Ready To Move,Tanjay,2 BHK,Mancyhi,1080,2,1,3657000
Super built-up  Area,21-Dec,Ligao,3 BHK,,1100,3,2,3657000
Super built-up  Area,21-Dec,Olongapo,3 BHK,Prtates,1100,3,2,3657000
Super built-up  Area,20-Dec,Bayawan,3 BHK,Omy 2es,1100,2,1,3657000
Super built-up  Area,18-Mar,Pasig,3 BHK,ViensRK,1308,2,3,3657000
Super built-up  Area,Ready To Move,San Pedro,2 BHK,Srestve,1210,2,2,3657000
Super built-up  Area,Ready To Move,Tarlac City,2 BHK,Flretes,1160,2,3,3657000
Built-up  Area,Ready To Move,Tacurong,2 BHK,DSingSt,1206,2,3,3657000
Super built-up  Area,Ready To Move,Bogo,2 BHK,,1120,2,2,3657000
Built-up  Area,Ready To Move,Naga,2 BHK,SNity S,1310,2,2,3657000
Super built-up  Area,Ready To Move,Calapan,2 BHK,,1041,2,1,3657000
Super built-up  Area,Ready To Move,Balanga,2 BHK,,1140 - 1250,2,0,3664245
Built-up  Area,Ready To Move,San Fernando,2 BHK,Sancy L,1150,2,1,3664590
Super built-up  Area,18-Jul,Butuan,2 BHK,,1170,2,2,3664590
Super built-up  Area,Ready To Move,Makati,3 BHK,Srier P,1265,2,2,3665280
Super built-up  Area,Ready To Move,Panabo,3 BHK,PuonsSe,1571,3,3,3665280
Super built-up  Area,Ready To Move,Silay,2 BHK,Kritel ,1240,2,1,3675630
Super built-up  Area,Ready To Move,San Carlos,2 BHK,Sosisic,1200,2,1,3679770
Super built-up  Area,Ready To Move,Danao,2 BHK,Sooutnu,1200,2,1,3679770
Super built-up  Area,20-Dec,Trece Martires,2 BHK,Ceise P,1100,2,1,3681150
Super built-up  Area,Ready To Move,Alaminos,2 BHK,SSthamh,1080,2,0,3681150
Super built-up  Area,19-Apr,Tandag,3 BHK,Magiaya,1404,2,0,3681150
Super built-up  Area,Ready To Move,Bacolod,2 BHK,,1284,2,2,3681840
Super built-up  Area,Ready To Move,Catbalogan,3 BHK,,1523,2,2,3684600
Super built-up  Area,Ready To Move,Legazpi,2 BHK,,1137,2,1,3684600
Super built-up  Area,Ready To Move,Gingoog,2 BHK,Suurtni,1227,2,2,3690810
Super built-up  Area,Ready To Move,Sorsogon City,2 BHK,VBn 2lm,1152,2,1,3691500
Super built-up  Area,Ready To Move,Tabuk,2 BHK,CoiewSy,1050,2,2,3691500
Super built-up  Area,Ready To Move,Vigan,2 BHK,,1255,2,2,3691500
Super built-up  Area,Ready To Move,Roxas,2 BHK,,1050,2,2,3691500
Super built-up  Area,Ready To Move,Lamitan,2 BHK,Visic C,1200,2,1,3691500
Super built-up  Area,Ready To Move,Gapan,2 BHK,Saaveas,1255,2,2,3691500
Super built-up  Area,Ready To Move,Lucena,2 BHK,Wiowsri,1192,2,2,3691500
Built-up  Area,Ready To Move,Dumaguete,2 BHK,Prageta,1200,2,1,3691500
Super built-up  Area,Ready To Move,Passi,3 BHK,Kiagar ,1230,2,2,3692190
